country,city,region,type,size,sports,percentage,Links,logo,Music,University
United States,Galveston,North America,Public,XL,Cricket,C,https://www.topuniversities.com/universities/texas-am-university,https://www.topuniversities.com/sites/default/files/texas-am-university_592560cf2aeae70239af4ce2_small.jpg,YES,Texas A&M University
United States,East Lansing,North America,Public,XL,Cricket,A,https://www.topuniversities.com/universities/michigan-state-university,https://www.topuniversities.com/sites/default/files/michigan-state-university_402_small.jpg,YES,Michigan State University
Germany,Freiburg mi Breisgau,Europe,Public,L,Football,A,https://www.topuniversities.com/universities/albert-ludwigs-universitaet-freiburg,https://www.topuniversities.com/sites/default/files/albert-ludwigs-universitaet-freiburg_216_small.jpg,YES,Albert-Ludwigs-Universitaet Freiburg
Germany,Berlin,Europe,Public,L,Football,C,https://www.topuniversities.com/universities/technische-universitat-berlin-tu-berlin,https://www.topuniversities.com/sites/default/files/technische-universitt-berlin-tu-berlin_595_small.jpg,YES,Technische Universität Berlin (TU Berlin)
United Kingdom,Exeter,Europe,Public,L,Football,D,https://www.topuniversities.com/universities/university-exeter,https://www.topuniversities.com/sites/default/files/the-university-of-exeter_204_small.jpg,YES,The University of Exeter
France,Saint-Aubin,Europe,Public,S,Tanis,A,https://www.topuniversities.com/universities/centralesupelec,https://www.topuniversities.com/sites/default/files/centralesuplec_173_small.jpg,NO,CentraleSupélec
Germany,TÃ¼bingen,Europe,Public,L,Football,D,https://www.topuniversities.com/universities/eberhard-karls-universitat-tubingen,https://www.topuniversities.com/sites/default/files/eberhard-karls-universitt-tbingen_629_small.jpg,YES,Eberhard Karls Universität TÃ¼bingen
United Kingdom,Newcastle upon Tyne,Europe,Public,L,Football,D,https://www.topuniversities.com/universities/newcastle-university,https://www.topuniversities.com/sites/default/files/newcastle-university_592560cf2aeae70239af4c45_small.jpg,YES,Newcastle University
New Zealand,Dunedin,Oceania,Public,L,Football,C,https://www.topuniversities.com/universities/university-otago,https://www.topuniversities.com/sites/default/files/university-of-otago_474_small.jpg,YES,University of Otago
United States,Boulder,North America,Public,XL,Cricket,A,https://www.topuniversities.com/universities/university-colorado-boulder,https://www.topuniversities.com/sites/default/files/university-of-colorado-boulder_137_small.jpg,YES,University of Colorado Boulder
South Korea,Seoul,Asia,Private,L,Football,B,https://www.topuniversities.com/universities/hanyang-university,https://www.topuniversities.com/sites/default/files/hanyang-university_250_small.jpg,YES,Hanyang University
United States,Charlottesville,North America,Public,L,Football,B,https://www.topuniversities.com/universities/university-virginia,https://www.topuniversities.com/sites/default/files/university-of-virginia_656_small.jpg,YES,University of Virginia
Netherlands,Maastricht,Europe,Public,L,Football,C,https://www.topuniversities.com/universities/maastricht-university,https://www.topuniversities.com/sites/default/files/maastricht-university_377_small.jpg,YES,Maastricht University 
Taiwan,Hsinchu City,Asia,Public,M,VollyBall,A,https://www.topuniversities.com/universities/national-chiao-tung-university,https://www.topuniversities.com/sites/default/files/national-chiao-tung-university_437_small.jpg,NO,National Chiao Tung University
United Kingdom,Reading,Europe,Public,L,Football,D,https://www.topuniversities.com/universities/university-reading,https://www.topuniversities.com/sites/default/files/university-of-reading_517_small.jpg,YES,University of Reading
Ireland,Dublin,Europe,Public,L,Football,B,https://www.topuniversities.com/universities/university-college-dublin,https://www.topuniversities.com/sites/default/files/university-college-dublin_166_small.jpg,YES,University College Dublin
Germany,GÃ¶ttingen,Europe,Public,XL,Cricket,C,https://www.topuniversities.com/universities/university-gottingen,https://www.topuniversities.com/sites/default/files/university-of-gttingen_234_small.jpg,YES,University of GÃ¶ttingen
France,Lyon,Europe,Public,S,Tanis,B,https://www.topuniversities.com/universities/ecole-normale-superieure-de-lyon,https://www.topuniversities.com/sites/default/files/cole-normale-suprieure-de-lyon_175_small.jpg,NO,Icole Normale Superieure de Lyon
Norway,Bergen,Europe,Public,M,VollyBall,A,https://www.topuniversities.com/universities/university-bergen,https://www.topuniversities.com/sites/default/files/university-of-bergen_53_small.jpg,NO,University of Bergen
Netherlands,Enschede,Europe,Public,L,Football,B,https://www.topuniversities.com/universities/university-twente,https://www.topuniversities.com/sites/default/files/university-of-twente_635_small.jpg,YES,University of Twente
